"phenotype","mean","var"
"670_1",0.907705894114772,0.0837759039040744
"670_2",0.0884533780631401,0.0806293779723593
"670_3",0.00134411588278421,0.00134230923527786
"670_4",0.00238552798204883,0.00237983723829569
"680_1",0.542622214738733,0.248183346810765
"680_2",0.368280294101139,0.232649919077918
"680_3",0.0532300611775271,0.0503966217645638
"680_4",0.0265280350227311,0.0258242983805639
"680_5",0.00257899758657462,0.00257234635802306
"680_6",0.00676039737329517,0.00671469440065031
"1150_2",0.578712183466498,0.243804392173936
"1150_1",0.355771610744235,0.229198171732688
"1150_3",0.065516205789267,0.0612238325682454
"1210",0.373620361560419,0.234028186987881
"1418_2",0.650959241254303,0.227211307479925
"1418_1",0.0634745541925578,0.0594455351626138
"1418_3",0.205337494387566,0.163174007786202
"1418_4",0.0364378641153418,0.0351101461740536
"1418_5",0.0116766350892169,0.0115402912822102
"1418_6",0.0321142109610151,0.0310828884153665
"1428_3",0.528997393773367,0.249159151154352
"1428_0",0.1015262662681,0.0912186835257588
"1428_1",0.364122334446323,0.231537260003683
"1428_2",0.00535400551221096,0.00532534013718618
"1448_3",0.576920648405391,0.244083213848894
"1448_1",0.26247330838289,0.19358107076943
"1448_2",0.119159414965674,0.104960448790712
"1448_4",0.0414466282460451,0.0397288052530792
"1468_3",0.254589893897258,0.189773879822641
"1468_1",0.168754043041301,0.140276115998516
"1468_2",0.177760438549107,0.146161665035936
"1468_4",0.205146416448259,0.163061364266697
"1468_5",0.193749208064075,0.156210452438619
"1508_2",0.558781297517366,0.246544759062175
"1508_1",0.195132104893649,0.157055566533423
"1508_3",0.229184086026058,0.176658740738458
"1508_4",0.0169025115629267,0.0166168166657918
"1538_0",0.614409343480602,0.236910502124338
"1538_1",0.105610973260726,0.0944572955876482
"1538_2",0.279979683258672,0.201591060221046
"1618",0.677602373373178,0.218457396972214
"1677",0.708102124985844,0.206693505576376
"1707_1",0.887310792351619,0.0999903501279608
"1707_2",0.0958264180010141,0.086643715614109
"1707_3",0.0168627896473665,0.0165784359726752
"1747_3",0.40958170261193,0.241824531497443
"1747_1",0.114297610125739,0.101233666445284
"1747_2",0.0461181891359258,0.0439913017667488
"1747_4",0.373683626169262,0.234044173702253
"1747_5",0.0438809781552724,0.0419554379114089
"1747_6",0.0124378938018708,0.0122831925996442
"1767",0.0143098904147593,0.0141051174510769
"1777",0.0222777360486346,0.021781438525182
"1787",0.307096166379516,0.212788110974521
"1797",0.23106748061376,0.17767530001657
"1835",0.395026885127694,0.238980645154006
"1920",0.450879740445372,0.247587200101286
"1930",0.427251380982144,0.244707638430995
"1940",0.280571559332737,0.201851159426333
"1950",0.555140655776023,0.24695950808059
"1960",0.405162763876483,0.241005898644452
"1970",0.236251133363083,0.180436535347742
"1980",0.566925217361646,0.245521015281096
"1990",0.172815777975148,0.142950484857993
"2000",0.477047964516473,0.249473204067163
"2010",0.21241546532139,0.167295135413687
"2020",0.178602464122301,0.146703623931743
"2030",0.284529719499754,0.203572558221145
"2040",0.259647854390631,0.192230846100973
"2090",0.344383637260833,0.225783547647832
"2100",0.114684244927476,0.101531768892891
"2129",0.917978477348587,0.0752939924733571
"2159",0.0339881719081288,0.0328329760784723
